鄍	郏
鄒	邹
鄔	邬
鄖	郧鄹
鄧	邓
鄭	郑
鄰	邻
鄲	郸
鄴	邺
鄶	郐
鄺	邝
醔	郦
醕	醇
醖	酝
醜	丑
醫	医
醬	酱
釀	酿
釃	酾
釅	酽
釋	释
釐	厘
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
針	针
釣	钓
釤	钐
鈁	钫
鈄	钭
鈇	钏
鈈	钚
鈉	钒钠
鈍	钝
鈎	钩
鈐	钤
鈑	钣
鈔	钞
鈕	钗钮
鈗	钍
鈙	钕
鈚	钎
鈞	钧
鈠	钯
鈣	钙
鈥	钬
鈦	钛
鈧	钪
鈮	铌
鈳	钶
鈴	铃
鈷	钴
鈸	钹
鈹	铍
鈺	钰
鈽	钸
鈾	铀
鈿	钿
鉀	钾
鉢	钵
鉦	钲
鉨	铊
鉩	铉
鉫	刨
鉬	钼
鉭	铋钽
鉶	钷
鉸	铰钳
鉺	铒
鉻	铬铆
鉼	铅
鉿	铪钺
銀	银
銃	铳
銅	铜
銑	铣
銓	铨
銖	铢
銘	铭
銚	铫
銜	衔
銠	铑
銣	铷
銥	铱
銦	铟
銨	铵
鋅	锌
鋇	钡
鋋	铥
鋌	铤铕
鋍	铯
鋎	铐
鋏	铗
鋒	铞锋
鋓	焊
鋘	销
鋚	锈
鋜	锑
鋝	锉锊
鋟	汞锓
鋣	铘
鋤	锄锒
鋥	锃
鋦	锔
鋨	锇
鋪	铺
鋭	锐
鋮	铖
鋯	锆
鋰	锂
鋱	铽
鋶	锍
鋸	锯钜
鋼	钢
錁	锞
錆	锖
錇	锫
錈	锩
錦	锦
錨	锚
錫	锡
錮	锢
錯	错
錰	锥
録	锕录
錳	锰
錵	锟
錸	锤铼
錹	锱
錺	铮
錻	锛
鍀	锝锬
鍁	锭锨
鍃	锪钱
鍆	钔
鍇	锴
鍋	锅
鍍	镀
鍔	锷
鍘	铡
鍛	锻
鍤	锸
鍥	锲
鍩	锘
鍬	锹
鎇	镅
鎊	镑
鎌	镰
鎑	锾
鎔	熔閒
鎕	糖
鎖	键锁
鎗	锶
鎘	镉
鎛	锗
鎣	镁蓥
鎥	锿
鎦	镏
鎧	铠
鎩	铩
鎪	锼
鎬	镐
鎮	镇
鎰	镒
鎳	镍
鎵	镓
鎿	镎
鏃	镞
鏆	罐
鏇	旋
鏈	链
鏌	镆
鏰	間
鏲	镝
鏵	铧
鏷	铿镤
鏸	锵
鏹	镪
鏼	镗
鏽	镘
鏿	铲
鐁	镜
鐂	镖
鐄	镂
鐈	錾
鐋	铴
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐘	钟
鐙	镫
鐝	镢
鐠	镨
鐦	锎
鐧	锏
鐨	镄
鐫	镌
鑌	镔
鑒	鉴
鑓	镯
鑔	镭
鑖	铁
鑙	铎
鑛	铛
鑟	镱
鑠	铄
鑣	镳
鑤	铸
鑥	镥
鑪	镬
鑭	镧
鑮	閐
鑰	钥
鑱	閗
鑲	镶
鑷	镊
鑹	镩
鑼	锣
鑽	钻
鑾	銮
鑿	凿
閉	闭
開	开
閌	闶
閎	闳
閏	闰
閑	闲
閒	间
閔	闵
閘	长闸
閠	门
関	闩
閣	阁闪
閥	阀
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閲	阅
閶	阊
閹	阉
閻	阎
閼	阏
閽	阍
閾	阈
閿	阌
闃	阒
闈	闱
闊	阔
闋	阕
闌	阑
阣	阗
阧	陡阂阖
阨	阙
阩	闯
阯	址
阷	关
阸	嫖
阹	阚
陁	阐
陏	闼
陘	陉
陝	陕
陣	阵
陰	阴
陳	陈
陸	陆
陻	堙
陽	阳
隄	堤
隊	队
隱	隐
隴	陇
隸	隶
隺	阶
隻	只
雃	陨
雋	际
雖	虽
雙	双
雛	雏
雜	杂
雞	险
離	离
難	难
雰	氛
雲	云
電	电
靃	霍
靄	霭
靈	灵
靉	叆
靎	雾
靚	靓
靣	面
靦	腼
靨	霁靥
靬	雷
鞏	巩
韃	鞑
韉	鞯
