FIFA世界杯	世足
布阵	佈陣
布隆迪	蒲隆地
布雷	佈雷
希特勒	希特拉
希腊	希腊
帕劳	帛琉
帘子	帘子
帘布	帘布
带发修行	帶髮修行
带团参加	帶團參加
席卷	席卷
帮助文件	說明檔案
干上	幹上
干下去	幹下去
干与	干與
干丝	乾絲
干个	幹個
干么	幹麼
干了	幹了
干事	幹事
干些	幹些
干休	干休
干劲	幹勁
干卿何事	干卿何事
干吗	幹嗎
干员	幹員
干嘛	幹嘛
干坏事	幹壞事
干完	幹完
干将	干將
干得	幹得
干性油	幹性油
干戈	干戈
干才	幹才
干扰	干擾
干挠	干撓
干掉	幹掉
干支	干支
干政	干政
干时	干時
干校	幹校
干活	幹活
干流	幹流
干涉	干涉
干犯	干犯
干球温度	幹球溫度
干着急	干著急
干系	干係
干线	幹線
干练	幹練
干警	幹警
干贝	干貝
干起来	幹起來
干路	幹路
干道	幹道
干部	幹部
干预	干預
平台	平臺
年会	尾牙
年历	年曆
年度总结	年度檢討
年里	年裡
并为	併為
并入	併入
并列	併列
并到	併到
并发	併發
并合	併合
并吞	併吞
并在	併在
并存着	並存著
并成	併成
并拢	併攏
并排	併排
并案	併案
并科	併科
并购	併購
并进	併進
幼儿园	幼稺園
庄里	莊裡
底里	底裡
庙里	廟裡
康采恩	康采恩
建台	建臺
开伙	開伙
开卷	開卷
开诚布公	開誠佈公
开采	開采
异步	非同步
弄脏	弄髒
弔卷	弔卷
弘历	弘曆
弥漫	瀰漫
弥漫着	瀰漫著
弹子台	彈子檯
弹药	彈葯
归并	歸併
当啷	噹啷
当当	噹噹
当着	當著
录像	錄影
录制	錄製
录着	錄著
形单影只	形單影隻
影后	影后
往复	往複
往里	往裡
征伐	征伐
征兵	征兵
征发	征發
征夫	征夫
征尘	征塵
征战	征戰
征收	征收
征服	征服
征求	征求
征衣	征衣
征讨	征討
征途	征途
御侮	禦侮
御寇	禦寇
御寒	禦寒
御敌	禦敵
微观经济	個體經濟
德干高原	德干高原
心愿	心愿
心荡神驰	心蕩神馳
心里	心裡
志哀	誌哀
志喜	誌喜
志庆	誌慶
忙里	忙裡
忧郁	憂郁
快冲	快衝
快干	快幹
快闪存储器	快閃記憶體
怀表	懷錶
怀里	懷裡
怎么	怎麼
怎么着	怎麼著
怒发冲冠	怒髮衝冠
怒喷	灣家
急冲而下	急衝而下
怪里怪气	怪裡怪氣
总监	協理
总线	匯流排
怼	嗆聲
恋恋不舍	戀戀不捨
恩准	恩准
恶心	噁心
悉尼	雪棃
悬吊	懸吊
情有所钟	情有所鍾
意大利	義大利
意面	意麵
慌里慌张	慌裡慌張
慰借	慰藉
戏台	戲臺
戛纳	埳市
戴安娜	黛安娜
戴表	戴錶
户口本	戶口名簿
戽斗	戽斗
房价	屋价
房里	房裡
所罗门群岛	索羅門群島
手不释卷	手不釋卷
手卷	手卷
手折	手摺
手松	手鬆
手电	手電筒
手表	手錶
手里	手裡
才干	才幹
才高八斗	才高八斗
打印	列印
打印机	印表機
打游戏	打電動
打谷	打穀
打门	射門
托管班	安親班
扞御	扞禦
扫瞄仪	掃瞄器
扫荡	掃蕩
批准	批准
批复	批覆
承制	承製
抗御	抗禦
折冲	折衝
折叠	摺疊
折合	摺合
折奏	摺奏
折子	摺子
折尺	摺尺
折扇	摺扇
折梯	摺梯
折椅	摺椅
折痕	摺痕
折篷	摺篷
折纸	摺紙
折裙	摺裙
护发	護髮
报复	報複
披发	披髮
披复	披覆
抱朴	抱朴
抵御	抵禦
担仔面	擔仔麵
担担面	擔擔麵
担着	擔著
担负着	擔負著
拆伙	拆伙
拆台	拆臺
拈须	拈鬚
拉纤	拉縴
拉面	拉麵
拖吊	拖吊
拗别	拗彆
括号	括弧
拮据	拮据
拿破仑	拿破崙
挂帘	掛帘
挂科	當掉
挂面	掛麵
振荡	振蕩
捍御	捍禦
换发	換髮
换只	換隻
换吊	換吊
据云	據云
捲发	捲髮
捵面	捵麵
捷豹	機架
捷豹	積架
掌柜	掌柜
排骨面	排骨麵
接口	介面
接着说	接著說
控件	控制項
提心吊胆	提心吊膽
插图卷	插圖卷
搭伙	搭伙
摄制	攝製
摆布	擺佈
摇荡	搖蕩
撒布	撒佈
撚须	撚鬚
撞球台	撞球檯
撩妹	把妹
擂台	擂臺
擢发难数	擢髮難數
支干	支幹
收获	收穫
改制	改製
攻克	攻剋
放松	放鬆
放荡	放蕩
救护车	哦伊哦伊
散伙	散伙
散发	散髮
散布	散佈
散荡	散蕩
数据库	資料庫
数码	數碼
整出	整齣
整只	整隻
文件夹	檔案夾
文艺委员	康樂股長
文莱	汶萊
文采	文采
斗六	斗六
斗南	斗南
斗大	斗大
斗子	斗子
斗室	斗室
斗方	斗方
斗栱	斗栱
斗着	鬥著
斗笠	斗笠
斗箕	斗箕
斗篷	斗篷
斗胆	斗膽
斗转参横	斗轉參橫
斗量	斗量
斗门	斗門
料斗	料斗
断头台	斷頭臺
斯嘉丽·约翰逊	史嘉蕾·喬韓森
斯威士兰	史瓦濟蘭
斯巴鲁	速覇陸
斯洛文尼亚	斯洛維尼亞
斯里兰卡	斯裡蘭卡
新历	新曆
新泽西	紐澤西
新西兰	紐西蘭
方便面	速食面
方便面	速食麵
方才	方纔
施舍	施捨
旋回	旋迴
旋绕着	旋繞著
族里	族裡
无主之地	邊緣禁地
无干	無干
无精打采	無精打采
日历	日曆
日志	日誌
日进斗金	日進斗金
旧历	舊曆
明了	明瞭
明窗净几	明窗淨几
明里	明裡
易拉罐	易開鑵
星历	星曆
星斗	星斗
星移斗换	星移斗換
星移斗转	星移斗轉
星罗棋布	星羅棋佈
星辰表	星辰錶
星际争霸	星海爭覇
春假里	春假裡
春天里	春天裡
显着标志	顯著標志
晃荡	晃蕩
普京	蒲亭
景致	景緻
智能手机	智慧手機
暗地里	暗地裡
暗沟里	暗溝裡
暗里	暗裡
曲棍球	草地曲棍毬
月历	月曆
月台	月臺
有只	有隻
服务器	伺服器
朝鲜	北韓
木制	木製
本台	本臺
朱唇皓齿	硃唇皓齒
朱批	硃批
朱砂	硃砂
朱笔	硃筆
朱红色	硃紅色
朱色	硃色
朴子	朴子
朴实	朴實
朴硝	朴硝
朴素	朴素
朴资茅斯	朴資茅斯
机器人	機器人
机械人	機器人
杀虫药	殺虫藥
杂志	雜誌
权限	許可權
李奥纳多·迪卡普里奥	李奧納多·迪卡皮歐
村里	村裡
束发	束髮
条干	條幹
来复	來複
松了	鬆了
松些	鬆些
松动	鬆動
松劲	鬆勁
松口	鬆口
松土	鬆土
松开	鬆開
松弛	鬆弛
松快	鬆快
松懈	鬆懈
松手	鬆手
松散	鬆散
松松	鬆鬆
松林	鬆林
松柔	鬆柔
松毛虫	鬆毛蟲
松浮	鬆浮
松涛	鬆濤
松科	鬆科
松紧	鬆緊
松绑	鬆綁
松缓	鬆緩
松脆	鬆脆
松脱	鬆脫
松节油	鬆節油
松赞干布	松贊干布
松起	鬆起
松软	鬆軟
松通	鬆通
松饼	鬆餅
板着脸	板著臉
板荡	板蕩
枕借	枕藉
林宏岳	林宏嶽
枝干	枝幹
枯干	枯幹
某只	某隻
染发	染髮
柜上	柜上
柜台	櫃臺
柜子	柜子
查卷	查卷
查号台	查號臺
柬埔寨	高棉
标志	標誌
标志着	標志著
标致	寶獅
标致	標緻
栏干	欄干
树干	樹幹
校雠学	校讎學
核准	核准
核复	核覆
格林纳达	格瑞那達
格里	格裡
格鲁吉亚	喬治亞
案卷	案卷
桌球	撞球
档卷	檔卷
梅丽尔·斯特里普	楳麗·史翠普
梦里	夢裡
梵蒂冈	教廷
梵蒂冈	梵蒂岡
检复	檢覆
棉制	棉製
棉卷	棉卷
植发	植髮
楼主	原po
楼台	樓臺
模制	模製
模拟	類比
模拟人生	糢擬市民
横冲	橫衝
横征暴敛	橫征暴斂
欧几里得	歐幾裡得
欺蒙	欺矇
歌后	歌后
正当着	正當著
武后	武后
武术	國術
武松	武鬆
死机	宕機
死里求生	死裡求生
死里逃生	死裡逃生
残卷	殘卷
母后	母后
每只	每隻
比干	比干
毕加索	畢卡索
毛卷	毛卷
毛发	毛髮
毛里塔尼亚	茅利塔尼亞
毛里求斯	模里西斯
毫发	毫髮
民乐	中樂
气冲牛斗	氣沖牛斗
气象台	氣象臺
氯霉素	氯黴素
水斗	水斗
水表	水錶
水里	水裡
永历	永曆
汇总	彙總
汇报	彙報
汇整	彙整
汇纂	彙纂
汇编	彙編
汇辑	彙輯
汇集	彙集
池里	池裡
污蔑	污衊
汤团	湯糰
汤面	湯麵
沃尓沃	富豪
沃尔沃	富豪
沈着	沈著
沙特阿拉伯	沙烏地阿拉伯
沙里淘金	沙裡淘金
沙雕	秀逗
没事干	沒事幹
没精打采	沒精打采
河里	河裡
油面	油麵
泡面	泡麵
波斯尼亚和黑塞哥维那	波士尼亞赫塞哥維納
泰斗	泰斗
洋白菜	高麗菜
洗发精	洗髮精
洗手不干	洗手不幹
洗甲水	去光水
津巴布韦	辛巴威
津巴布韦	辛巴維
洪都拉斯	宏都拉斯
派团参加	派團參加
流荡	流蕩
测验卷	測驗卷
浓发	濃髮
浓郁	濃郁
浩荡	浩蕩
浪客剑心	神劍闖江湖
浪琴表	浪琴錶
浪荡	浪蕩
浮荡	浮蕩
海里	海裡
涂着	涂著
液晶表	液晶錶
淡朱	淡硃
淫荡	淫蕩
港制	港製
游荡	遊蕩
湖里	湖裡
湿地松	濕地鬆
满布	滿佈
漂荡	漂蕩
漏斗	漏斗
演奏台	演奏臺
潭里	潭裡
激光打印机	鐳射打印機
激荡	激蕩
