萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
葱	蔥
蒇	蕆
蒉	蕢
蒋	蔣
蒌	蔞
蓝	藍
蓟	薊
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蔂	虆
蔷	薔
蔹	蘞
蔺	藺
蔼	藹
蕰	薀
蕲	蘄
薮	藪
䓕	薳
藓	蘚
蘖	櫱
虏	虜
虑	慮
虚	虛
虬	虯
虮	蟣
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚕	蠶
蚬	蜆
蛊	蠱
蛎	蠣
蛏	蟶
蛮	蠻
蛰	蟄
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蜕	蛻
蜗	蝸
蝇	蠅
蝈	蟈
蝉	蟬
蝼	螻
蝾	蠑
螀	螿
螨	蟎
䗖	螮
蟏	蠨
衅	釁
衔	銜
补	補
衬	襯
衮	袞
袄	襖
袅	裊
袆	褘
袜	襪
袭	襲
袯	襏
装	裝
裆	襠
裈	褌
裢	褳
裣	襝
裤	褲
裥	襇
褛	褸
褴	襤
䙓	襬
见	見
观	觀
觃	覎
规	規
觅	覓
视	視
觇	覘
览	覽
觉	覺
觊	覬
觋	覡
觌	覿
觍	覥
觎	覦
觏	覯
觐	覲
觑	覷
觞	觴
触	觸
觯	觶
訚	誾
䜣	訢
誉	譽
誊	謄
䜧	譅
讠	訁
计	計
订	訂
讣	訃
认	認
讥	譏
讦	訐
讧	訌
讨	討
让	讓
讪	訕
讫	訖
讬	託
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	諱
讴	謳
讵	詎
讶	訝
讷	訥
许	許
讹	訛
论	論
讻	訩
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	證
诂	詁
诃	訶
评	評
诅	詛
识	識
诇	詗
诈	詐
诉	訴
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	譯
诒	詒
诓	誆
诔	誄
试	試
诖	詿
诗	詩
